mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.659635146458943,0.28434502344923934,0.4267069498697917,0.04812216147434139,0.7,0.05,4,10,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.8}",-0.17375127971172333,-0.17652834951877594,-0.1739710122346878,-0.17475021382172903,0.0012605278030112291,32
6.726404110590617,0.4233288985749795,0.463550329208374,0.01054107777169714,0.8,0.03,5,30,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.8}",-0.1738004982471466,-0.17685824632644653,-0.17392787337303162,-0.17486220598220825,0.0014123712678904491,33
4.759714603424072,0.23834928969170913,0.30881603558858234,0.005351217662612754,0.8,0.05,4,20,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.8}",-0.17373178899288177,-0.17691442370414734,-0.1740104705095291,-0.17488556106885275,0.0014391267124199815,34
7.359206597010295,0.12119527221639546,0.5457204182942709,0.04937228199426452,0.8,0.03,5,20,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.7}",-0.17403316497802734,-0.17662638425827026,-0.17402532696723938,-0.17489495873451233,0.0012243069105535062,35
6.629803816477458,0.44239829251676005,0.4405380090077718,0.044068093431836534,0.7,0.03,5,20,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.7}",-0.17405255138874054,-0.1767110973596573,-0.17412497103214264,-0.17496287326018015,0.0012365346140679049,36
6.219553788503011,0.3400590083364154,0.4267412026723226,0.03890511968569485,0.7,0.03,5,30,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.8}",-0.17408190667629242,-0.1768387258052826,-0.17403943836688995,-0.17498669028282166,0.0013097016382033339,37
5.969806830088298,0.31826150582008333,0.346286137898763,0.006185887265208998,0.8,0.05,4,10,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.7}",-0.17406326532363892,-0.1768578439950943,-0.17423255741596222,-0.17505122224489847,0.0012793426865233722,38
5.652364015579224,0.03682569352673918,0.3923519452412923,0.016875698454179657,0.7,0.05,4,20,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.8}",-0.17422150075435638,-0.17702257633209229,-0.17422080039978027,-0.17515495916207632,0.0013206047965302315,39
7.877813180287679,0.02713510789368688,0.4796202977498372,0.06506279670230222,0.8,0.03,5,30,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.7}",-0.17422232031822205,-0.17702290415763855,-0.17440897226333618,-0.17521806557973227,0.0012784864635909197,40
5.9364495277404785,0.21900473250252636,0.34194691975911456,0.0033288834774427194,0.7,0.05,4,10,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.7}",-0.17437055706977844,-0.17701855301856995,-0.17426587641239166,-0.17521832883358002,0.001273667891609301,41
4.8342814445495605,0.15610010139002675,0.33194708824157715,0.0279620929011158,0.8,0.05,4,30,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.8}",-0.17425234615802765,-0.17731115221977234,-0.17428182065486908,-0.17528177301088968,0.001435038249565702,42
6.870532353719075,0.3601480446502869,0.411882479985555,0.01553603848820693,0.7,0.03,5,30,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.7}",-0.17436349391937256,-0.17713630199432373,-0.17460142076015472,-0.175367072224617,0.0012547995268577187,43
5.729061444600423,0.2661093450509873,0.37456321716308594,0.03648272608057553,0.8,0.05,4,20,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.7}",-0.1742488592863083,-0.17726276814937592,-0.17466261982917786,-0.175391415754954,0.0013339838291849344,44
6.298137664794922,0.18450297447416805,0.3766138553619385,0.012954429316922913,0.7,0.05,4,30,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.8}",-0.1744219958782196,-0.17738358676433563,-0.17458143830299377,-0.175462340315183,0.0013600849018819022,45
5.885112365086873,0.24600350383685354,0.3947877883911133,0.04760259601392818,0.7,0.05,4,20,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.7}",-0.17466560006141663,-0.1774490922689438,-0.17465566098690033,-0.17559011777242026,0.0013144997350942472,46
5.5654811064402265,0.30966621101325065,0.3335875670115153,0.02511679958411209,0.8,0.05,4,30,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.7}",-0.17462338507175446,-0.17754463851451874,-0.17491480708122253,-0.17569427688916525,0.0013138011786000257,47
6.10767126083374,0.24969852507760157,0.3729911645253499,0.012960332358764924,0.7,0.05,4,30,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.7}",-0.1749870628118515,-0.17761369049549103,-0.17495594918727875,-0.17585223416487375,0.0012456024828470902,48
4.111372152964274,0.08521305047687595,0.26743578910827637,0.012133057541908894,0.8,0.03,5,10,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.8}",-0.17548410594463348,-0.1782156527042389,-0.17581655085086823,-0.17650543649991354,0.0012168975588419191,49
4.750642379124959,0.3559293668460189,0.3368641535441081,0.039399656973225776,0.7,0.03,5,10,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.8}",-0.17570899426937103,-0.178292378783226,-0.1756582409143448,-0.17655320465564728,0.0012299563570281797,50
5.820318301518758,0.7055330711187792,0.3253963788350423,0.01738658308545405,0.7,0.03,5,10,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.7}",-0.17602653801441193,-0.17836855351924896,-0.17572683095932007,-0.1767073074976603,0.0011810334000078152,51
4.776703437169393,0.11718131763461699,0.27114089330037433,0.009629332513060453,0.8,0.03,5,10,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.7}",-0.175955131649971,-0.1783912032842636,-0.17596116662025452,-0.1767691671848297,0.0011469553714411715,52
4.3250049750010175,0.2136673036040931,0.2703853448232015,0.006474733612625006,0.7,0.03,5,20,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.8}",-0.17607344686985016,-0.17860455811023712,-0.1758345365524292,-0.17683751384417215,0.0012532899674103995,53
3.98525071144104,0.4931274341001104,0.26238123575846356,0.025480953472952463,0.8,0.05,4,10,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.8}",-0.1759711354970932,-0.17873990535736084,-0.17598989605903625,-0.17690031230449677,0.0013008112698826143,54
4.424980084101359,0.2740954167343206,0.29629262288411456,0.01985258362326744,0.8,0.03,5,20,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.8}",-0.175927072763443,-0.17869029939174652,-0.17608559131622314,-0.17690098782380423,0.0012668883003309017,55
3.039927085240682,0.15731362965115603,0.2042678197224935,0.018719511037448615,0.7,0.05,5,20,400,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 400, 'subsample': 0.8}",-0.1762305647134781,-0.17874670028686523,-0.17576992511749268,-0.17691573003927866,0.0013082778107134623,56
2.257983128229777,0.06344152554487353,0.13990449905395508,0.003301297669383312,0.8,0.05,5,10,400,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 400, 'subsample': 0.8}",-0.17618586122989655,-0.1787004917860031,-0.17597195506095886,-0.17695276935895285,0.0012389079125822255,57
2.78385861714681,0.13087044394446495,0.16925907135009766,0.01289932282511833,0.7,0.05,5,10,400,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 400, 'subsample': 0.8}",-0.17594176530838013,-0.17890308797359467,-0.1760166883468628,-0.17695384720961252,0.0013786607105934652,58
3.92240301767985,0.16511480442601612,0.24083526929219565,0.013471356773293704,0.8,0.05,4,20,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.8}",-0.1759887933731079,-0.1789703518152237,-0.1763211339712143,-0.1770934263865153,0.0013341037858144245,59
4.725340207417806,0.29626456228697284,0.29864001274108887,0.029780908003471662,0.8,0.03,5,20,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.7}",-0.176447793841362,-0.1786210536956787,-0.1762402504682541,-0.1771030326684316,0.0010767418267791443,60
4.16130797068278,0.2194146412032797,0.2641308307647705,0.009341292854160452,0.7,0.05,4,10,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.8}",-0.17632047832012177,-0.17877785861492157,-0.17627881467342377,-0.17712571720282236,0.00116836421234816,61
4.958747307459514,0.4325940051793319,0.31071893374125165,0.017772590531246423,0.7,0.03,5,20,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.7}",-0.1764877289533615,-0.1787271648645401,-0.17626212537288666,-0.1771590063969294,0.0011126739500066402,62
4.591708103815715,0.19451057460365426,0.3024873733520508,0.010319364418375105,0.8,0.03,5,30,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.8}",-0.17608477175235748,-0.17893975973129272,-0.17646433413028717,-0.17716295520464578,0.0012659101190104773,63
2.585353215535482,0.06632933470424479,0.15523870786031088,0.00585972097719997,0.8,0.05,5,10,400,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 400, 'subsample': 0.7}",-0.1762782782316208,-0.17904992401599884,-0.17619021236896515,-0.17717280487219492,0.0013278105058247018,64
2.5622918605804443,0.09956607294178663,0.17014455795288086,0.014836785472628717,0.8,0.05,5,20,400,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 400, 'subsample': 0.8}",-0.17636828124523163,-0.17904649674892426,-0.17614203691482544,-0.17718560496966043,0.0013190868773155086,65
4.269913514455159,0.25190339034807563,0.2577190399169922,0.00663130110620221,0.7,0.03,5,30,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.8}",-0.17644663155078888,-0.17889432609081268,-0.176266148686409,-0.1772023687760035,0.0011986612483477468,66
3.745493491490682,0.19007542628650906,0.2300709088643392,0.012126675574579426,0.8,0.05,4,10,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.7}",-0.17642919719219208,-0.17878960072994232,-0.17651662230491638,-0.1772451400756836,0.0010926816620890972,67
6.222751299540202,1.940487252172157,0.3672636349995931,0.07704205244901915,0.8,0.03,5,30,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.7}",-0.1764569878578186,-0.178927943110466,-0.17652788758277893,-0.17730427285035452,0.0011484730523402948,68
3.812394380569458,1.0186377282063646,0.178052028020223,0.014972934323911391,0.7,0.05,5,10,400,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 400, 'subsample': 0.7}",-0.17660804092884064,-0.17912034690380096,-0.17629481852054596,-0.17734106878439584,0.0012646211656486485,69
3.973271608352661,0.24756278704833765,0.24953858057657877,0.02581646332301246,0.8,0.05,4,20,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.7}",-0.17635191977024078,-0.1790204495191574,-0.17670583724975586,-0.17735940217971802,0.001183391480300183,70
4.087646087010701,0.23374257066454443,0.2522766590118408,0.011496597041312144,0.7,0.05,4,20,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 20, 'n_estimators': 700, 'subsample': 0.8}",-0.17657002806663513,-0.17913788557052612,-0.17643313109874725,-0.17738034824530283,0.001244022583428182,71
4.705060720443726,0.13630500828219427,0.2784578005472819,0.01533307759595773,0.7,0.05,4,10,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.7}",-0.17661643028259277,-0.178785040974617,-0.17674590647220612,-0.17738245924313864,0.0009931826471926337,72
3.464329719543457,0.186544870571189,0.22776031494140625,0.016442955294636546,0.8,0.05,4,30,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.8}",-0.17635300755500793,-0.17928571999073029,-0.17654959857463837,-0.1773961087067922,0.0013385651797202982,73
4.791282415390015,0.14473552059363873,0.29877837498982746,0.007666368310558668,0.7,0.03,5,30,700,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 700, 'subsample': 0.7}",-0.17669513821601868,-0.1789526641368866,-0.17670384049415588,-0.17745054761568704,0.0010621627197552046,74
2.7884435653686523,0.2158684158086337,0.17675352096557617,0.00640600846120066,0.8,0.05,5,30,400,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 400, 'subsample': 0.8}",-0.17657878994941711,-0.17918816208839417,-0.1766158789396286,-0.17746094365914664,0.0012214217194313564,75
